name	side_effect
Sirolimus	The risk or severity of adverse effects can be increased when Bortezomib is combined with Sirolimus.
Sitagliptin	The serum concentration of Bortezomib can be increased when it is combined with Sitagliptin.
Sitaxentan	The serum concentration of Bortezomib can be increased when it is combined with Sitaxentan.
Smallpox (Vaccinia) Vaccine, Live	The therapeutic efficacy of Smallpox (Vaccinia) Vaccine, Live can be decreased when used in combination with Bortezomib.
Sodium ascorbate	The therapeutic efficacy of Bortezomib can be decreased when used in combination with Sodium ascorbate.
Sodium citrate	The risk or severity of bleeding can be increased when Sodium citrate is combined with Bortezomib.
Sofosbuvir	The serum concentration of Bortezomib can be increased when it is combined with Sofosbuvir.
Solifenacin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Solifenacin.
Somapacitan	The metabolism of Bortezomib can be increased when combined with Somapacitan.
Somatostatin	The metabolism of Bortezomib can be decreased when combined with Somatostatin.
Somatotropin	The metabolism of Bortezomib can be increased when combined with Somatotropin.
Somatrem	The metabolism of Bortezomib can be increased when combined with Somatrem.
Somatrogon	The metabolism of Bortezomib can be increased when combined with Somatrogon.
Sorafenib	The serum concentration of Bortezomib can be increased when it is combined with Sorafenib.
Sotagliflozin	The serum concentration of Bortezomib can be increased when it is combined with Sotagliflozin.
Sotalol	The metabolism of Sotalol can be decreased when combined with Bortezomib.
Sotorasib	The serum concentration of Bortezomib can be decreased when it is combined with Sotorasib.
Sparfloxacin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Sparfloxacin.
Sparsentan	The serum concentration of Bortezomib can be decreased when it is combined with Sparsentan.
Spesolimab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Spesolimab.
St. John's Wort	The metabolism of Bortezomib can be increased when combined with St. John's Wort.
Stiripentol	The metabolism of Bortezomib can be decreased when combined with Stiripentol.
Streptokinase	The risk or severity of bleeding can be increased when Streptokinase is combined with Bortezomib.
Streptozocin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Streptozocin.
Sulfadiazine	The metabolism of Bortezomib can be decreased when combined with Sulfadiazine.
Sulfamethizole	The metabolism of Bortezomib can be decreased when combined with Sulfamethizole.
Sulfamethoxazole	The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Bortezomib.
Sulfaphenazole	The metabolism of Bortezomib can be decreased when combined with Sulfaphenazole.
Sulfapyridine	The metabolism of Bortezomib can be decreased when combined with Sulfapyridine.
Sulfasalazine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Sulfasalazine.
Sulfinpyrazone	The metabolism of Bortezomib can be increased when combined with Sulfinpyrazone.
Sulfisoxazole	The metabolism of Bortezomib can be decreased when combined with Sulfisoxazole.
Sulodexide	The risk or severity of bleeding can be increased when Sulodexide is combined with Bortezomib.
Sulpiride	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Sulpiride.
Sultopride	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Sultopride.
Sunitinib	The risk or severity of adverse effects can be increased when Bortezomib is combined with Sunitinib.
Sutimlimab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Sutimlimab.
Suvorexant	The serum concentration of Bortezomib can be increased when it is combined with Suvorexant.
Tacrine	The metabolism of Tacrine can be decreased when combined with Bortezomib.
Tacrolimus	Tacrolimus may increase the immunosuppressive activities of Bortezomib.
Tafenoquine	The metabolism of Tafenoquine can be decreased when combined with Bortezomib.
Talazoparib	The serum concentration of Talazoparib can be increased when it is combined with Bortezomib.
Tamoxifen	The serum concentration of Bortezomib can be increased when it is combined with Tamoxifen.
Tamsulosin	The metabolism of Tamsulosin can be decreased when combined with Bortezomib.
Tasimelteon	The metabolism of Bortezomib can be decreased when combined with Tasimelteon.
Tazemetostat	The metabolism of Bortezomib can be decreased when combined with Tazemetostat.
Technetium Tc-99m sestamibi	The serum concentration of Bortezomib can be increased when it is combined with Technetium Tc-99m sestamibi.
Tecovirimat	The metabolism of Bortezomib can be increased when combined with Tecovirimat.
Tedizolid phosphate	The risk or severity of myelosuppression can be increased when Bortezomib is combined with Tedizolid phosphate.
Tegafur	The metabolism of Tegafur can be decreased when combined with Bortezomib.
Tegaserod	The metabolism of Bortezomib can be decreased when combined with Tegaserod.
Telaprevir	The metabolism of Bortezomib can be decreased when combined with Telaprevir.
Telavancin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Telavancin.
Telithromycin	The metabolism of Bortezomib can be decreased when combined with Telithromycin.
Telotristat ethyl	The serum concentration of Bortezomib can be decreased when it is combined with Telotristat ethyl.
Temozolomide	The risk or severity of adverse effects can be increased when Bortezomib is combined with Temozolomide.
Temsirolimus	The serum concentration of Bortezomib can be increased when it is combined with Temsirolimus.
Tenecteplase	The risk or severity of bleeding can be increased when Tenecteplase is combined with Bortezomib.
Teniposide	The serum concentration of Bortezomib can be increased when it is combined with Teniposide.
Tenofovir alafenamide	The metabolism of Bortezomib can be decreased when combined with Tenofovir alafenamide.
Tenofovir disoproxil	The serum concentration of Bortezomib can be increased when it is combined with Tenofovir disoproxil.
Tenoxicam	The metabolism of Tenoxicam can be decreased when combined with Bortezomib.
Tepotinib	The serum concentration of Bortezomib can be increased when it is combined with Tepotinib.
Teprotumumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Teprotumumab.
Terbinafine	The metabolism of Bortezomib can be decreased when combined with Terbinafine.
Terbutaline	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Terbutaline.
Terfenadine	The metabolism of Bortezomib can be decreased when combined with Terfenadine.
Teriflunomide	The serum concentration of Bortezomib can be decreased when it is combined with Teriflunomide.
Terlipressin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Terlipressin.
Testosterone	The metabolism of Bortezomib can be increased when combined with Testosterone.
Testosterone cypionate	The metabolism of Testosterone cypionate can be decreased when combined with Bortezomib.
Testosterone enanthate	The metabolism of Testosterone enanthate can be decreased when combined with Bortezomib.
Tetrabenazine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Tetrabenazine.
Tetracaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Tetracaine.
Tetracycline	The serum concentration of Bortezomib can be increased when it is combined with Tetracycline.
Tezacaftor	The serum concentration of Bortezomib can be increased when it is combined with Tezacaftor.
Thalidomide	The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Bortezomib.
Theophylline	The metabolism of Theophylline can be decreased when combined with Bortezomib.
Thiabendazole	The metabolism of Bortezomib can be decreased when combined with Thiabendazole.
Thiamylal	The metabolism of Bortezomib can be increased when combined with Thiamylal.
Thiopental	The metabolism of Thiopental can be decreased when combined with Bortezomib.
Thioridazine	The metabolism of Bortezomib can be decreased when combined with Thioridazine.
Thiotepa	The risk or severity of adverse effects can be increased when Bortezomib is combined with Thiotepa.
Thiothixene	The metabolism of Thiothixene can be decreased when combined with Bortezomib.
Ticagrelor	The serum concentration of Bortezomib can be increased when it is combined with Ticagrelor.
Tick-borne encephalitis vaccine (whole virus, inactivated)	The therapeutic efficacy of Tick-borne encephalitis vaccine (whole virus, inactivated) can be decreased when used in combination with Bortezomib.
Ticlopidine	The metabolism of Ticlopidine can be decreased when combined with Bortezomib.
Timolol	The metabolism of Timolol can be decreased when combined with Bortezomib.
Tinzaparin	The risk or severity of bleeding can be increased when Tinzaparin is combined with Bortezomib.
Tioguanine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Tioguanine.
Tiotropium	The metabolism of Tiotropium can be decreased when combined with Bortezomib.
Tipranavir	The metabolism of Bortezomib can be decreased when combined with Tipranavir.
Tirofiban	The risk or severity of bleeding can be increased when Tirofiban is combined with Bortezomib.
Tivozanib	The serum concentration of Bortezomib can be increased when it is combined with Tivozanib.
Tixocortol	The risk or severity of adverse effects can be increased when Bortezomib is combined with Tixocortol.
Tizanidine	The metabolism of Tizanidine can be decreased when combined with Bortezomib.
Tocainide	The metabolism of Tocainide can be decreased when combined with Bortezomib.
Tocilizumab	The metabolism of Bortezomib can be increased when combined with Tocilizumab.
Tofacitinib	Bortezomib may increase the immunosuppressive activities of Tofacitinib.
Tolazamide	The metabolism of Tolazamide can be decreased when combined with Bortezomib.
Tolbutamide	The metabolism of Tolbutamide can be decreased when combined with Bortezomib.
Tolterodine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Tolterodine.
Tolvaptan	The serum concentration of Tolvaptan can be increased when it is combined with Bortezomib.
Topiramate	The metabolism of Bortezomib can be increased when combined with Topiramate.
Topotecan	The risk or severity of adverse effects can be increased when Bortezomib is combined with Topotecan.
Torasemide	The metabolism of Bortezomib can be decreased when combined with Torasemide.
Toremifene	The serum concentration of Bortezomib can be increased when it is combined with Toremifene.
Tositumomab	The risk or severity of adverse effects can be increased when Tositumomab is combined with Bortezomib.
Trabectedin	The metabolism of Trabectedin can be decreased when combined with Bortezomib.
Tramadol	The metabolism of Tramadol can be decreased when combined with Bortezomib.
Tranylcypromine	The metabolism of Bortezomib can be decreased when combined with Tranylcypromine.
Trastuzumab	The risk or severity of neutropenia can be increased when Trastuzumab is combined with Bortezomib.
Trastuzumab emtansine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Trastuzumab emtansine.
Trazodone	The risk or severity of QTc prolongation can be increased when Trazodone is combined with Bortezomib.
Treprostinil	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Treprostinil.
Tretinoin	The risk or severity of cardiotoxicity can be increased when Bortezomib is combined with Tretinoin.
Triamcinolone	The metabolism of Bortezomib can be increased when combined with Triamcinolone.
Triamterene	The metabolism of Triamterene can be decreased when combined with Bortezomib.
Trichlormethiazide	The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Bortezomib.
Triclabendazole	The serum concentration of Bortezomib can be increased when it is combined with Triclabendazole.
Trifluoperazine	The metabolism of Trifluoperazine can be decreased when combined with Bortezomib.
Trifluridine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Trifluridine.
Triflusal	The risk or severity of bleeding can be increased when Triflusal is combined with Bortezomib.
Trilaciclib	The metabolism of Bortezomib can be increased when combined with Trilaciclib.
Trilostane	The risk or severity of adverse effects can be increased when Bortezomib is combined with Trilostane.
Trimebutine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Trimebutine.
Trimethadione	The metabolism of Trimethadione can be decreased when combined with Bortezomib.
Trimethoprim	The metabolism of Trimethoprim can be decreased when combined with Bortezomib.
Trimipramine	The metabolism of Trimipramine can be decreased when combined with Bortezomib.
Tripelennamine	The metabolism of Bortezomib can be decreased when combined with Tripelennamine.
Triprolidine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Triprolidine.
Triptorelin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Triptorelin.
Trofinetide	The metabolism of Bortezomib can be decreased when combined with Trofinetide.
Troglitazone	The metabolism of Bortezomib can be increased when combined with Troglitazone.
Troleandomycin	The metabolism of Bortezomib can be decreased when combined with Troleandomycin.
Trospium	The metabolism of Bortezomib can be decreased when combined with Trospium.
Trovafloxacin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Trovafloxacin.
Tucatinib	Tucatinib may decrease the excretion rate of Bortezomib which could result in a higher serum level.
Typhoid vaccine	The therapeutic efficacy of Typhoid vaccine can be decreased when used in combination with Bortezomib.
Typhoid Vaccine Live	The risk or severity of infection can be increased when Typhoid Vaccine Live is combined with Bortezomib.
Typhoid Vi polysaccharide vaccine	The therapeutic efficacy of Typhoid Vi polysaccharide vaccine can be decreased when used in combination with Bortezomib.
Ublituximab	The risk or severity of infection can be increased when Ublituximab is combined with Bortezomib.
Ubrogepant	The serum concentration of Bortezomib can be increased when it is combined with Ubrogepant.
Umbralisib	The serum concentration of Bortezomib can be increased when it is combined with Umbralisib.
Umeclidinium	The serum concentration of Bortezomib can be increased when it is combined with Umeclidinium.
Upadacitinib	The risk or severity of adverse effects can be increased when Bortezomib is combined with Upadacitinib.
Urokinase	The risk or severity of bleeding can be increased when Urokinase is combined with Bortezomib.
Valbenazine	The metabolism of Valbenazine can be decreased when combined with Bortezomib.
Valdecoxib	The metabolism of Bortezomib can be decreased when combined with Valdecoxib.
Valoctocogene roxaparvovec	The therapeutic efficacy of Valoctocogene roxaparvovec can be decreased when used in combination with Bortezomib.
Valproic acid	The serum concentration of Bortezomib can be increased when it is combined with Valproic acid.
Valsartan	The metabolism of Bortezomib can be decreased when combined with Valsartan.
Vandetanib	The serum concentration of Bortezomib can be increased when it is combined with Vandetanib.
Vardenafil	The serum concentration of Bortezomib can be increased when it is combined with Vardenafil.
Varicella zoster vaccine (live/attenuated)	The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Bortezomib.
Varicella zoster vaccine (recombinant)	The therapeutic efficacy of Varicella zoster vaccine (recombinant) can be decreased when used in combination with Bortezomib.
Vedolizumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Vedolizumab.
Velpatasvir	The serum concentration of Bortezomib can be increased when it is combined with Velpatasvir.
Vemurafenib	The serum concentration of Bortezomib can be increased when it is combined with Vemurafenib.
Venetoclax	The serum concentration of Bortezomib can be increased when it is combined with Venetoclax.
Venlafaxine	The metabolism of Bortezomib can be decreased when combined with Venlafaxine.
Verapamil	The serum concentration of Bortezomib can be increased when it is combined with Verapamil.
Vernakalant	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Vernakalant.
Vibrio cholerae CVD 103-HgR strain live antigen	The therapeutic efficacy of Vibrio cholerae CVD 103-HgR strain live antigen can be decreased when used in combination with Bortezomib.
Vilanterol	The risk or severity of adverse effects can be increased when Bortezomib is combined with Vilanterol.
Vilazodone	The metabolism of Bortezomib can be decreased when combined with Vilazodone.
Viloxazine	The metabolism of Bortezomib can be decreased when combined with Viloxazine.
Vinblastine	The metabolism of Bortezomib can be increased when combined with Vinblastine.
Vincristine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Vincristine.
Vindesine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Vindesine.
Vinflunine	The serum concentration of Vinflunine can be increased when it is combined with Bortezomib.
Vinorelbine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Vinorelbine.
Vitamin E	The metabolism of Bortezomib can be increased when combined with Vitamin E.
Voclosporin	The serum concentration of Bortezomib can be increased when it is combined with Voclosporin.
Vorapaxar	The serum concentration of Bortezomib can be increased when it is combined with Vorapaxar.
Voriconazole	The metabolism of Bortezomib can be decreased when combined with Voriconazole.
Vorinostat	The therapeutic efficacy of Bortezomib can be increased when used in combination with Vorinostat.
Vortioxetine	The metabolism of Vortioxetine can be decreased when combined with Bortezomib.
Voxelotor	The serum concentration of Bortezomib can be increased when it is combined with Voxelotor.
Voxilaprevir	The serum concentration of Bortezomib can be increased when it is combined with Voxilaprevir.
Warfarin	The metabolism of Bortezomib can be increased when combined with Warfarin.
Ximelagatran	The risk or severity of bleeding can be increased when Ximelagatran is combined with Bortezomib.
Yellow fever vaccine	The risk or severity of infection can be increased when Yellow fever vaccine is combined with Bortezomib.
Yohimbine	The metabolism of Yohimbine can be decreased when combined with Bortezomib.
Zafirlukast	The serum concentration of Bortezomib can be increased when it is combined with Zafirlukast.
Zidovudine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Zidovudine.
Zileuton	The metabolism of Bortezomib can be decreased when combined with Zileuton.
Zimelidine	The metabolism of Bortezomib can be decreased when combined with Zimelidine.
Zinc ascorbate	The therapeutic efficacy of Bortezomib can be decreased when used in combination with Zinc ascorbate.
Ziprasidone	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ziprasidone.
Zolmitriptan	The metabolism of Zolmitriptan can be decreased when combined with Bortezomib.
Zolpidem	The metabolism of Zolpidem can be decreased when combined with Bortezomib.
Zonisamide	The serum concentration of Bortezomib can be increased when it is combined with Zonisamide.
Zopiclone	The metabolism of Zopiclone can be decreased when combined with Bortezomib.
Zotepine	The metabolism of Zotepine can be decreased when combined with Bortezomib.
Zuclopenthixol	The metabolism of Bortezomib can be decreased when combined with Zuclopenthixol.
